year,season,time,valid_time,t2m
2020,winter,00:00:00,2020-05-18 16:21:05.934065920,5.292536454835165
2020,winter,01:00:00,2020-05-18 17:21:05.934065920,5.236153401428572
2020,winter,02:00:00,2020-05-18 18:21:05.934065920,5.183585348791208
2020,winter,03:00:00,2020-05-18 19:21:05.934065920,5.07313721932967
2020,winter,04:00:00,2020-05-18 20:21:05.934065920,4.999956722307693
2020,winter,05:00:00,2020-05-18 21:21:05.934065920,4.9385164721978025
2020,winter,06:00:00,2020-05-18 22:21:05.934065920,4.886471590714286
2020,winter,07:00:00,2020-05-18 23:21:05.934065920,4.8209533817417585
2020,winter,08:00:00,2020-05-19 00:21:05.934065920,4.839068065351648
2020,winter,09:00:00,2020-05-19 01:21:05.934065920,5.014913711758242
2020,winter,10:00:00,2020-05-19 02:21:05.934065920,5.51093502
2020,winter,11:00:00,2020-05-19 03:21:05.934065920,6.108349815824175
2020,winter,12:00:00,2020-05-19 04:21:05.934065920,6.543598892307693
2020,winter,13:00:00,2020-05-19 05:21:05.934065920,6.8484554065934065
2020,winter,14:00:00,2020-05-19 06:21:05.934065920,6.9764011802197805
2020,winter,15:00:00,2020-05-19 07:21:05.934065920,6.869523946153847
2020,winter,16:00:00,2020-05-19 08:21:05.934065920,6.565276448241757
2020,winter,17:00:00,2020-05-19 09:21:05.934065920,6.185087781318681
2020,winter,18:00:00,2020-05-19 10:21:05.934065920,5.919223993736263
2020,winter,19:00:00,2020-05-19 11:21:05.934065920,5.790626290549451
2020,winter,20:00:00,2020-05-19 12:21:05.934065920,5.641201494065934
2020,winter,21:00:00,2020-05-19 13:21:05.934065920,5.52999406923077
2020,winter,22:00:00,2020-05-19 14:21:05.934065920,5.415242616373627
2020,winter,23:00:00,2020-05-19 15:21:05.934065920,5.382069011208792
2020,spring,00:00:00,2020-04-15 12:00:00.000000000,6.883562191076088
2020,spring,01:00:00,2020-04-15 13:00:00.000000000,6.580939245108696
2020,spring,02:00:00,2020-04-15 14:00:00.000000000,6.285154899076088
2020,spring,03:00:00,2020-04-15 15:00:00.000000000,6.019965133913043
2020,spring,04:00:00,2020-04-15 16:00:00.000000000,5.854087485978261
2020,spring,05:00:00,2020-04-15 17:00:00.000000000,5.977025553043478
2020,spring,06:00:00,2020-04-15 18:00:00.000000000,6.4537340113043475
2020,spring,07:00:00,2020-04-15 19:00:00.000000000,7.319546887391304
2020,spring,08:00:00,2020-04-15 20:00:00.000000000,8.478885770108695
2020,spring,09:00:00,2020-04-15 21:00:00.000000000,9.6522946
2020,spring,10:00:00,2020-04-15 22:00:00.000000000,10.637847883695652
2020,spring,11:00:00,2020-04-15 23:00:00.000000000,11.467283821739132
2020,spring,12:00:00,2020-04-16 00:00:00.000000000,12.03785904673913
2020,spring,13:00:00,2020-04-16 01:00:00.000000000,12.408822834782608
2020,spring,14:00:00,2020-04-16 02:00:00.000000000,12.602970326086956
2020,spring,15:00:00,2020-04-16 03:00:00.000000000,12.619226872826086
2020,spring,16:00:00,2020-04-16 04:00:00.000000000,12.316410242391305
2020,spring,17:00:00,2020-04-16 05:00:00.000000000,11.775227472826087
2020,spring,18:00:00,2020-04-16 06:00:00.000000000,10.98296189021739
2020,spring,19:00:00,2020-04-16 07:00:00.000000000,9.987008852173913
2020,spring,20:00:00,2020-04-16 08:00:00.000000000,8.98965986847826
2020,spring,21:00:00,2020-04-16 09:00:00.000000000,8.263943857608696
2020,spring,22:00:00,2020-04-16 10:00:00.000000000,7.687291659782608
2020,spring,23:00:00,2020-04-16 11:00:00.000000000,7.256754996739131
2020,summer,00:00:00,2020-07-16 12:00:00.000000000,12.90682982826087
2020,summer,01:00:00,2020-07-16 13:00:00.000000000,12.681933839130435
2020,summer,02:00:00,2020-07-16 14:00:00.000000000,12.465872092391304
2020,summer,03:00:00,2020-07-16 15:00:00.000000000,12.326414695652174
2020,summer,04:00:00,2020-07-16 16:00:00.000000000,12.262431269565218
2020,summer,05:00:00,2020-07-16 17:00:00.000000000,12.399226985869564
2020,summer,06:00:00,2020-07-16 18:00:00.000000000,12.918545907608696
2020,summer,07:00:00,2020-07-16 19:00:00.000000000,13.691898499999999
2020,summer,08:00:00,2020-07-16 20:00:00.000000000,14.491275940217392
2020,summer,09:00:00,2020-07-16 21:00:00.000000000,15.24678239673913
2020,summer,10:00:00,2020-07-16 22:00:00.000000000,15.929412875
2020,summer,11:00:00,2020-07-16 23:00:00.000000000,16.462600021739128
2020,summer,12:00:00,2020-07-17 00:00:00.000000000,16.90730489673913
2020,summer,13:00:00,2020-07-17 01:00:00.000000000,17.21470714673913
2020,summer,14:00:00,2020-07-17 02:00:00.000000000,17.385483467391303
2020,summer,15:00:00,2020-07-17 03:00:00.000000000,17.48428074456522
2020,summer,16:00:00,2020-07-17 04:00:00.000000000,17.33764514673913
2020,summer,17:00:00,2020-07-17 05:00:00.000000000,16.956568179347826
2020,summer,18:00:00,2020-07-17 06:00:00.000000000,16.42389045652174
2020,summer,19:00:00,2020-07-17 07:00:00.000000000,15.693615445652174
2020,summer,20:00:00,2020-07-17 08:00:00.000000000,14.853418744565218
